gss_code,borough_name,district_gss_code
E08000003,Manchester,E11000001
E08000001,Bolton,E11000001
E08000002,Bury,E11000001
E08000004,Oldham,E11000001
E08000005,Rochdale,E11000001
E08000006,Salford,E11000001
E08000007,Stockport,E11000001
E08000008,Tameside,E11000001
E08000009,Trafford,E11000001
E08000010,Wigan,E11000001
E08000012,Liverpool,E11000002
E08000011,Knowsley,E11000002
E08000013,St Helens,E11000002
E08000014,Sefton,E11000002
E08000015,Wirral,E11000002
E08000019,Sheffield,E11000003
E08000016,Barnsley,E11000003
E08000017,Doncaster,E11000003
E08000018,Rotherham,E11000003
E08000021,Newcastle upon Tyne,E11000004
E08000020,Gateshead,E11000004
E08000023,South Tyneside,E11000004
E08000022,North Tyneside,E11000004
E08000024,Sunderland,E11000004
E08000025,Birmingham,E11000005
E08000026,Coventry,E11000005
E08000027,Dudley,E11000005
E08000028,Sandwell,E11000005
E08000029,Solihull,E11000005
E08000030,Walsall,E11000005
E08000031,Wolverhampton,E11000005
E08000035,Leeds,E11000006
E08000032,Bradford,E11000006
E08000033,Calderdale,E11000006
E08000034,Kirklees,E11000006
E08000036,Wakefield,E11000006
