county_name,iso_code,region_name,region_code,population,density,unknown,rank,notes
Barnsley,GB-BNS,North West,NORTHWEST,,,,,
Bath and North East Somerset,GB-BAS,South West,SOUTHWEST,"175,500",508,346,66,
Bedford,GB-BDF,East of England,EAST,"157,800",331,476,72,
Birmingham,GB-BIR,West Midlands,WESTMID,,,,,
Blackburn with Darwen,GB-BBD,North West,NORTHWEST,"147,700","1,078",137,77,
Blackpool,GB-BPL,North West,NORTHWEST,"142,100","4,077",35,79,
Bolton,GB-BOL,North West,NORTHWEST,,,,,
Bournemouth,GB-BMH,South West,SOUTHWEST,"183,500","3,974",46,65,
Bracknell Forest,GB-BRC,South East,SOUTHEAST,"113,700","1,039",109,86,
Bradford,GB-BRD,Yorkshire and the Humber,YORKHUMB,,,,,
Brighton and Hove,GB-BNH,South East,SOUTHEAST,"273,000","3,302",83,46,
Bristol,GB-BST,South West,SOUTHWEST,"428,100","3,906",110,37,
Buckinghamshire,GB-BKM,South East,SOUTHEAST,"506,700",324,"1,565",34,
Bury,GB-BUR,North West,NORTHWEST,,,,,
Calderdale,GB-CLD,Yorkshire and the Humber,YORKHUMB,,,,,
Cambridgeshire,GB-CAM,East of England,EAST,"622,200",204,"3,046",25,
Central Bedfordshire,GB-CBF,East of England,EAST,"255,600",357,716,51,
Cheshire East,GB-CHE,North West,NORTHWEST,"370,700",318,"1,166",39,
Cheshire West and Chester,GB-CHW,North West,NORTHWEST,"329,500",359,917,42,
City of London,GB-LND,London,LONDON,,,,,
Cornwall,GB-CON,South West,SOUTHWEST,"533,800",151,"3,546",30,
County Durham,GB-DUR,North East,NORTHEAST,"513,000",230,"2,226",33,
County of Herefordshire,GB-HEF,West Midlands,WESTMID,,,,,
Coventry,GB-COV,East Midlands,EASTMID,,,,,
Cumbria,GB-CMA,North West,NORTHWEST,"499,800",74,"6,767",35,
Darlington,GB-DAL,North East,NORTHEAST,"105,600",535,197,87,
Derby,GB-DER,East Midlands,EASTMID,"248,900","3,190",78,53,
Derbyshire,GB-DBY,East Midlands,EASTMID,"770,600",303,"2,547",18,
Devon,GB-DEV,South West,SOUTHWEST,"747,900",114,"6,564",19,
Doncaster,GB-DNC,Yorkshire and the Humber,YORKHUMB,,,,,
Dorset,GB-DOR,South West,SOUTHWEST,"413,800",163,"2,542",38,
Dudley,GB-DUD,West Midlands,WESTMID,,,,,
East Riding of Yorkshire,GB-ERY,Yorkshire and the Humber,YORKHUMB,"334,700",139,"2,408",40,
East Sussex,GB-ESX,South East,SOUTHEAST,"527,200",308,"1,709",32,
Essex,GB-ESS,East of England,EAST,"1,396,600",403,"3,464",6,
Gateshead,GB-GAT,North East,NORTHEAST,,,,,
Gloucestershire,GB-GLS,South West,SOUTHWEST,"598,300",226,"2,653",27,
Greater London,,London,LONDON,"8,196,700","5,223","1,569",1,administrative area
Greater Manchester,GB-MAN,North West,NORTHWEST,"2,685,400","2,105","1,276",3,
Halton,GB-HAL,North West,NORTHWEST,"125,700","1,589",79,85,
Hampshire,GB-HAM,South East,SOUTHEAST,"1,322,300",359,"3,679",9,
Hartlepool,GB-HPL,North East,NORTHEAST,"92,100",981,94,88,
